timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778657494994,20014,GET Learning TextBook BM PT16,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/620/page-content,0,0,20014
1778657515009,20007,GET Navigate TextBook BI,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/17/navigation,0,0,20007
1778657535017,20012,GET Learning TextBook BI PT1,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/195/page-content,0,0,20011
1778657555030,20014,GET Learning TextBook BI PT6,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/259/page-content,0,0,20014
1778657575046,20016,GET Learning TextBook BI PT12,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/337/page-content,0,0,20016
1778657595064,20015,GET Learning TextBook BI PT16,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/377/page-content,0,0,20015
1778657615081,20015,GET Navigate TextBook Math,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/11/navigation,0,0,20015
1778657635096,20034,GET Learning TextBook Math PT1,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/1878/page-content,0,0,20034
1778657655131,20001,GET Learning TextBook Math PT4,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/1971/page-content,0,0,20001
1778657675133,20014,GET Learning TextBook Math PT6,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/2049/page-content,0,0,20014
