timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778662460165,1784592,T04_AI_Tutor_WebSocket,Websocket I/O error,"Number of samples in transaction : 305, number of failing samples : 133",Virtual Student 1-1,,false,,15932,11381,1,1,null,0,53983257,8282
1778662460571,9,Init AI Tutor Socket State,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778662460986,1660,WS Open AI Tutor Connection,101,Switching Protocols,Virtual Student 1-1,,true,,199,2099,1,1,null,0,0,1660
1778662463067,21,Init AI Verification Counter,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778662463492,47,Load and Randomize Sejarah ,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778662463948,195,Ensure Access Token Min Validity Before Sejarah Question,200,Scheduled socket token rotation not due yet,Virtual Student 1-1,text,true,,123,0,1,1,null,0,0,0
1778662464611,1,WS Send Sejarah Question,200,OK,Virtual Student 1-1,,true,,0,181,1,1,null,0,0,0
1778662465037,22,Log Sejarah Question Sent,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778662465494,1,WS Read AI Tutor Chunk,200,OK,Virtual Student 1-1,text,true,,248,0,1,1,null,0,0,0
1778662466062,60006,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778662526478,60004,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778662586893,60000,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778662647304,60000,WS Read AI Tutor Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778662707711,58559,WS Read AI Tutor Chunk,Websocket I/O error,WebSocket I/O error: Connection reset,Virtual Student 1-1,,false,,0,0,1,1,null,0,0,0
1778662769067,26,Prepare AI Tutor Reconnect Before Sejarah Retry Open,200,Preparing AI tutor reconnect without socket close,Virtual Student 1-1,text,true,,163,0,1,1,null,0,0,0
1778662769510,1570,WS Open AI Tutor Connection Retry (Sejarah),101,Switching Protocols,Virtual Student 1-1,,true,,199,2099,1,1,null,0,0,1570
1778662771489,45,Mark AI Tutor Socket Reconnected (Sejarah),200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778662771950,14,Prepare Sejarah Retry,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778662772378,1,Ensure Access Token Min Validity Before Sejarah Retry Question,200,Scheduled socket token rotation not due yet,Virtual Student 1-1,text,true,,123,0,1,1,null,0,0,0
1778662772802,1,WS Retry Sejarah Question,200,OK,Virtual Student 1-1,,true,,0,181,1,1,null,0,0,0
1778662773261,75,WS Read Sejarah Retry Chunk,200,OK,Virtual Student 1-1,text,true,,248,0,1,1,null,0,0,0
1778662773783,60004,WS Read Sejarah Retry Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778662834199,60009,WS Read Sejarah Retry Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778662894619,60000,WS Read Sejarah Retry Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778662955024,60006,WS Read Sejarah Retry Chunk,No response,"Read timeout, no response received.",Virtual Student 1-1,,true,,0,0,1,1,null,0,0,0
1778663015439,59210,WS Read Sejarah Retry Chunk,Websocket I/O error,WebSocket I/O error: Connection reset,Virtual Student 1-1,,false,,0,0,1,1,null,0,0,0
1778663077495,1,Ensure Access Token Min Validity Before Sejarah Question,200,Scheduled socket token rotation not due yet,Virtual Student 1-1,text,true,,121,0,1,1,null,0,0,0
1778663077898,2,Prepare AI Tutor Reconnect Before Sejarah Question,200,Preparing AI tutor reconnect without socket close,Virtual Student 1-1,text,true,,154,0,1,1,null,0,0,0
1778663078316,1651,WS Open AI Tutor Connection Before Sejarah Question,101,Switching Protocols,Virtual Student 1-1,,true,,199,2099,1,1,null,0,0,1651
1778663080373,0,WS Send Sejarah Question,200,OK,Virtual Student 1-1,,true,,0,174,1,1,null,0,0,0
1778663080778,1,Log Sejarah Question Sent,200,OK,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778663081181,0,WS Read AI Tutor Chunk,200,OK,Virtual Student 1-1,text,true,,248,0,1,1,null,0,0,0
