timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778662432197,534,GET Learning TextBook Sejarah PT10,200,OK,Virtual Student 1-1,text,true,,1646,2083,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/2377/page-content,534,0,0
1778662432732,534,GET Learning TextBook Math ,200,OK,Virtual Student 1-1,text,true,,1046,2091,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/courses/10/navigation,534,0,0
1778662433267,518,GET Learning TextBook Math PT1,200,OK,Virtual Student 1-1,text,true,,2087,2083,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1553/page-content,517,0,0
1778662433785,1294,GET Learning TextBook Math PT4,200,OK,Virtual Student 1-1,text,true,,2128,2083,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1649/page-content,1294,0,0
1778662435080,524,GET Learning TextBook Math PT8,200,OK,Virtual Student 1-1,text,true,,2090,2083,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1763/page-content,524,0,0
1778662435605,547,GET Learning TextBook Math PT10,200,OK,Virtual Student 1-1,text,true,,2427,2083,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1825/page-content,547,0,0
1778662436152,665,GET Navigate Study Notes,200,OK,Virtual Student 1-1,text,true,,15069,2140,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=STUDY_NOTES&subjectIds=2,14,15,6,7&limit=12&offset=0",582,0,0
1778662436818,744,GET Learning Study Notes BM TP1,200,OK,Virtual Student 1-1,text,true,,31504,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3284/detail,538,0,0
1778662437562,865,GET Learning Study Notes BM TP2,200,OK,Virtual Student 1-1,text,true,,44837,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3283/detail,588,0,0
1778662438428,840,GET Learning Study Notes BI TP1,200,OK,Virtual Student 1-1,text,true,,37990,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3162/detail,588,0,0
